VAR,Variable,UNIT,Measure,Country,Year,Value,Percentage of graduates contributed by country
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Australia,2020,541,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Australia,2021,530,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Australia,2019,291,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Australia,2020,297,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Australia,2021,303,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Australia,2019,695,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Australia,2020,697,
HOSPTHOS,Hospitals,NOMBRENB,Number,Austria,2019,265,
HOSPTHOS,Hospitals,NOMBRENB,Number,Austria,2020,267,
HOSPTHOS,Hospitals,NOMBRENB,Number,Austria,2021,268,
HOSPGHOS,General hospitals,NOMBRENB,Number,Austria,2019,115,
HOSPGHOS,General hospitals,NOMBRENB,Number,Austria,2020,114,
HOSPGHOS,General hospitals,NOMBRENB,Number,Austria,2021,114,
HOPITBED,Total hospital beds,NOMBRENB,Number,Austria,2019,63838,
HOPITBED,Total hospital beds,NOMBRENB,Number,Austria,2020,62873,
HOPITBED,Total hospital beds,NOMBRENB,Number,Austria,2021,61927,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Austria,2019,44299,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Austria,2020,43121,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Austria,2021,42333,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Austria,2019,10510,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Austria,2020,10244,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Austria,2021,10177,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Austria,2019,9029,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Austria,2020,9508,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Austria,2021,9417,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Austria,2019,255,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Austria,2020,254,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Austria,2021,255,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Austria,2019,158,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Austria,2020,157,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Austria,2021,157,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Austria,2019,97,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Austria,2020,97,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Austria,2021,98,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Austria,2019,222,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Austria,2020,226,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Austria,2021,238,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Austria,2019,106,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Austria,2020,106,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Austria,2021,107,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Austria,2019,116,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Austria,2020,120,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Austria,2021,131,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Austria,2019,24,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Austria,2020,23,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Austria,2021,24,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Austria,2019,20,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Austria,2020,20,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Austria,2021,21,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Austria,2019,4,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Austria,2020,3,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Austria,2021,3,
IPINGAMA,"Gamma cameras, total",NOMBRENB,Number,Austria,2019,91,
IPINGAMA,"Gamma cameras, total",NOMBRENB,Number,Austria,2020,91,
IPINGAMA,"Gamma cameras, total",NOMBRENB,Number,Austria,2021,90,
IPINGAMH,"Gamma cameras, in hospitals",NOMBRENB,Number,Austria,2019,68,
IPINGAMH,"Gamma cameras, in hospitals",NOMBRENB,Number,Austria,2020,68,
IPINGAMH,"Gamma cameras, in hospitals",NOMBRENB,Number,Austria,2021,67,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Austria,2019,23,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Austria,2020,23,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Austria,2021,23,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Austria,2019,193,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Austria,2020,193,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Austria,2021,189,
IPINMAMH,"Mammographs, in hospitals",NOMBRENB,Number,Austria,2019,21,
IPINMAMH,"Mammographs, in hospitals",NOMBRENB,Number,Austria,2020,21,
IPINMAMH,"Mammographs, in hospitals",NOMBRENB,Number,Austria,2021,20,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Austria,2019,172,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Austria,2020,172,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Austria,2021,169,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Austria,2019,49,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Austria,2020,51,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Austria,2021,51,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Austria,2019,48,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Austria,2020,50,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Austria,2021,50,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Austria,2019,1,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Austria,2020,1,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Austria,2021,1,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Austria,2019,144,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Austria,2020,143,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Austria,2021,143,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Austria,2019,42,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Austria,2020,42,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Austria,2021,42,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Austria,2019,79,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Austria,2020,82,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Austria,2021,83,
HOSPTHOS,Hospitals,NOMBRENB,Number,Belgium,2019,164,
HOSPTHOS,Hospitals,NOMBRENB,Number,Belgium,2020,163,
HOSPTHOS,Hospitals,NOMBRENB,Number,Belgium,2021,163,
HOSPTHOS,Hospitals,NOMBRENB,Number,Belgium,2022,162,
HOSPGHOS,General hospitals,NOMBRENB,Number,Belgium,2019,104,
HOSPGHOS,General hospitals,NOMBRENB,Number,Belgium,2020,104,
HOSPGHOS,General hospitals,NOMBRENB,Number,Belgium,2021,104,
HOSPGHOS,General hospitals,NOMBRENB,Number,Belgium,2022,103,
HOPITBED,Total hospital beds,NOMBRENB,Number,Belgium,2019,63962,
HOPITBED,Total hospital beds,NOMBRENB,Number,Belgium,2020,63847,
HOPITBED,Total hospital beds,NOMBRENB,Number,Belgium,2021,63634,
HOPITBED,Total hospital beds,NOMBRENB,Number,Belgium,2022,63572,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Belgium,2019,16738,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Belgium,2020,16730,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Belgium,2021,16886,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Belgium,2022,16882,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Belgium,2019,47224,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Belgium,2020,47117,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Belgium,2021,46748,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Belgium,2022,46690,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Belgium,2019,277,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Belgium,2020,277,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Belgium,2021,284,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Belgium,2022,298,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Belgium,2019,269,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Belgium,2020,269,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Belgium,2021,275,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Belgium,2022,289,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Belgium,2019,8,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Belgium,2020,8,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Belgium,2021,9,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Belgium,2022,9,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Belgium,2019,132,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Belgium,2020,132,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Belgium,2021,132,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Belgium,2022,136,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Belgium,2019,132,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Belgium,2020,132,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Belgium,2021,132,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Belgium,2022,136,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Belgium,2019,0,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Belgium,2020,0,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Belgium,2021,0,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Belgium,2022,0,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Belgium,2019,33,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Belgium,2020,33,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Belgium,2021,33,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Belgium,2022,33,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Belgium,2019,33,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Belgium,2020,33,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Belgium,2021,33,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Belgium,2022,33,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Belgium,2019,0,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Belgium,2020,0,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Belgium,2021,0,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Belgium,2022,0,
IPINGAMA,"Gamma cameras, total",NOMBRENB,Number,Belgium,2020,311,
IPINGAMH,"Gamma cameras, in hospitals",NOMBRENB,Number,Belgium,2020,311,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Belgium,2019,0,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Belgium,2020,0,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Belgium,2021,0,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Belgium,2022,0,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Belgium,2019,395,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Belgium,2020,420,
IPINMAMH,"Mammographs, in hospitals",NOMBRENB,Number,Belgium,2019,192,
IPINMAMH,"Mammographs, in hospitals",NOMBRENB,Number,Belgium,2020,226,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Belgium,2019,203,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Belgium,2020,194,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Belgium,2021,193,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Belgium,2022,194,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Belgium,2019,0,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Belgium,2020,0,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Belgium,2021,0,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Belgium,2022,0,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Belgium,2019,38,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Belgium,2020,38,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Belgium,2021,39,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Belgium,2022,39,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Belgium,2019,126,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Belgium,2020,125,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Belgium,2021,124,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Belgium,2022,123,
HOSPTHOS,Hospitals,NOMBRENB,Number,Canada,2019,709,
HOSPTHOS,Hospitals,NOMBRENB,Number,Canada,2020,702,
HOSPTHOS,Hospitals,NOMBRENB,Number,Canada,2021,706,
HOSPGHOS,General hospitals,NOMBRENB,Number,Canada,2019,551,
HOSPGHOS,General hospitals,NOMBRENB,Number,Canada,2020,550,
HOSPGHOS,General hospitals,NOMBRENB,Number,Canada,2021,551,
HOPITBED,Total hospital beds,NOMBRENB,Number,Canada,2019,94748,
HOPITBED,Total hospital beds,NOMBRENB,Number,Canada,2020,96849,
HOPITBED,Total hospital beds,NOMBRENB,Number,Canada,2021,98692,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Canada,2019,94120,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Canada,2020,96220,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Canada,2021,98067,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Canada,2019,628,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Canada,2020,629,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Canada,2021,625,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Canada,2019,549,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Canada,2019,527,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Canada,2019,22,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Canada,2019,378,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Canada,2019,313,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Canada,2019,65,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Canada,2019,57,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Canada,2019,50,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Canada,2019,7,
IPINGAMA,"Gamma cameras, total",NOMBRENB,Number,Canada,2019,576,
IPINGAMH,"Gamma cameras, in hospitals",NOMBRENB,Number,Canada,2019,523,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Canada,2019,53,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Canada,2019,674,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Canada,2020,671,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Canada,2021,668,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Canada,2019,108,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Canada,2020,109,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Canada,2021,106,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Canada,2019,108,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Canada,2020,109,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Canada,2021,106,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Canada,2019,0,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Canada,2020,0,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Canada,2021,0,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Canada,2019,702,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Canada,2020,695,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Canada,2021,699,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Canada,2019,7,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Canada,2020,7,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Canada,2021,7,
HOSPTHOS,Hospitals,NOMBRENB,Number,Czechia,2019,258,
HOSPTHOS,Hospitals,NOMBRENB,Number,Czechia,2020,263,
HOSPTHOS,Hospitals,NOMBRENB,Number,Czechia,2021,265,
HOSPTHOS,Hospitals,NOMBRENB,Number,Czechia,2022,266,
HOSPGHOS,General hospitals,NOMBRENB,Number,Czechia,2019,140,
HOSPGHOS,General hospitals,NOMBRENB,Number,Czechia,2020,140,
HOSPGHOS,General hospitals,NOMBRENB,Number,Czechia,2021,139,
HOSPGHOS,General hospitals,NOMBRENB,Number,Czechia,2022,141,
HOPITBED,Total hospital beds,NOMBRENB,Number,Czechia,2019,70711,
HOPITBED,Total hospital beds,NOMBRENB,Number,Czechia,2020,69990,
HOPITBED,Total hospital beds,NOMBRENB,Number,Czechia,2021,69917,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Czechia,2019,60143,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Czechia,2020,59389,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Czechia,2021,59155,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2019,240,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2020,240,
HOPINROH,Beds in not-for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2021,196,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2019,10328,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2020,10361,
HOPIFROH,Beds in for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2021,10566,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Czechia,2019,175,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Czechia,2020,174,
IPINSCAN,"Computed Tomography scanners, total",NOMBRENB,Number,Czechia,2021,176,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Czechia,2019,158,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Czechia,2020,159,
IPINSCAH,"Computed Tomography scanners, in hospitals",NOMBRENB,Number,Czechia,2021,160,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Czechia,2019,17,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Czechia,2020,15,
IPINSCAA,"Computed Tomography scanners, in ambulatory sector",NOMBRENB,Number,Czechia,2021,16,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Czechia,2019,111,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Czechia,2020,118,
IPINMRIM,"Magnetic Resonance Imaging units, total",NOMBRENB,Number,Czechia,2021,124,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Czechia,2019,96,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Czechia,2020,98,
IPINMRIH,"Magnetic Resonance Imaging units, in hospitals",NOMBRENB,Number,Czechia,2021,102,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Czechia,2019,15,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Czechia,2020,20,
IPINMRIA,"Magnetic Resonance Imaging units, in ambulatory sector",NOMBRENB,Number,Czechia,2021,22,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Czechia,2019,17,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Czechia,2020,18,
IPINPETS,"Positron Emission Tomography (PET) scanners, total",NOMBRENB,Number,Czechia,2021,18,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Czechia,2019,16,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Czechia,2020,17,
IPINPETH,"Positron Emission Tomography (PET) scanners, in hospitals",NOMBRENB,Number,Czechia,2021,17,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Czechia,2019,1,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Czechia,2020,1,
IPINPETA,"Positron Emission Tomography (PET) scanners, in ambulatory sector",NOMBRENB,Number,Czechia,2021,1,
IPINGAMA,"Gamma cameras, total",NOMBRENB,Number,Czechia,2019,122,
IPINGAMA,"Gamma cameras, total",NOMBRENB,Number,Czechia,2020,118,
IPINGAMA,"Gamma cameras, total",NOMBRENB,Number,Czechia,2021,115,
IPINGAMH,"Gamma cameras, in hospitals",NOMBRENB,Number,Czechia,2019,111,
IPINGAMH,"Gamma cameras, in hospitals",NOMBRENB,Number,Czechia,2020,107,
IPINGAMH,"Gamma cameras, in hospitals",NOMBRENB,Number,Czechia,2021,104,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Czechia,2019,11,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Czechia,2020,11,
IPINGACA,"Gamma cameras, in ambulatory sector",NOMBRENB,Number,Czechia,2021,11,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Czechia,2019,114,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Czechia,2020,113,
IPINMAMO,"Mammographs, total",NOMBRENB,Number,Czechia,2021,117,
IPINMAMH,"Mammographs, in hospitals",NOMBRENB,Number,Czechia,2019,60,
IPINMAMH,"Mammographs, in hospitals",NOMBRENB,Number,Czechia,2020,61,
IPINMAMH,"Mammographs, in hospitals",NOMBRENB,Number,Czechia,2021,62,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Czechia,2019,54,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Czechia,2020,52,
IPINMAMA,"Mammographs, in ambulatory sector",NOMBRENB,Number,Czechia,2021,55,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Czechia,2019,83,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Czechia,2020,82,
IPINRTEQ,"Radiation therapy equipment, total",NOMBRENB,Number,Czechia,2021,82,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Czechia,2019,73,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Czechia,2020,72,
IPINRTEH,"Radiation therapy equipment, in hospitals",NOMBRENB,Number,Czechia,2021,73,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Czechia,2019,10,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Czechia,2020,10,
IPINRTEA,"Radiation therapy equipment, in ambulatory sector",NOMBRENB,Number,Czechia,2021,9,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Czechia,2019,158,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Czechia,2020,164,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Czechia,2021,161,
HOSPPUHO,Publicly owned hospitals,NOMBRENB,Number,Czechia,2022,162,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2019,3,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2020,3,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2021,3,
HOSPNPHO,Not-for-profit privately owned hospitals,NOMBRENB,Number,Czechia,2022,3,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Czechia,2019,97,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Czechia,2020,96,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Czechia,2021,101,
HOSPFRHO,For-profit privately owned hospitals,NOMBRENB,Number,Czechia,2022,101,
HOPITBED,Total hospital beds,NOMBRENB,Number,Denmark,2019,15076,
HOPITBED,Total hospital beds,NOMBRENB,Number,Denmark,2020,15089,
HOPITBED,Total hospital beds,NOMBRENB,Number,Denmark,2021,14716,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Denmark,2019,14129,
HOPITPOH,Beds in publicly owned hospitals,NOMBRENB,Number,Denmark,2020,14119,
